#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
240000	500.00000000166096	-362039.6974767412	299.3773724061184	1.062770495036992	8.44	1:28:44
241000	502.0000000016705	-362859.50460484665	298.9946959434602	1.0581653456143296	8.44	1:28:24
242000	504.00000000168006	-361840.5356116102	298.800242159513	1.0564635391668613	8.44	1:28:03
243000	506.0000000016896	-362788.16677628906	301.5260663676232	1.0595287095511994	8.44	1:27:43
244000	508.00000000169916	-362735.4664468682	300.6397166063863	1.0585507316716165	8.44	1:27:23
245000	510.0000000017087	-362657.3632614964	300.16717625935195	1.061904154250031	8.44	1:27:02
246000	512.0000000017183	-362448.77898460237	302.6052378592686	1.0615638108041479	8.44	1:26:42
247000	514.000000001671	-362472.85088982736	300.2456512687892	1.0585585049303545	8.44	1:26:21
248000	516.0000000016237	-362395.83124640945	299.2576278394107	1.0526645633478855	8.44	1:26:01
249000	518.0000000015764	-361694.27370931755	300.027533570531	1.0579149078938501	8.44	1:25:40
250000	520.0000000015291	-362670.7218240851	301.4550111153665	1.0547196695463132	8.44	1:25:20
251000	522.0000000014818	-362970.387558185	300.0961396462064	1.0578385621479005	8.44	1:24:59
252000	524.0000000014345	-362774.7975775954	299.12061484445053	1.052496215646568	8.44	1:24:39
253000	526.0000000013872	-362216.4650297298	300.97579720189896	1.0541337448890264	8.44	1:24:18
254000	528.0000000013399	-361648.36268247286	302.35039312572053	1.0561380081576242	8.44	1:23:58
255000	530.0000000012926	-362598.5259822112	299.7942934470237	1.0573622339357962	8.44	1:23:38
256000	532.0000000012453	-362649.48849139357	299.40904289615963	1.0597682457645978	8.44	1:23:17
257000	534.000000001198	-362699.35164830094	297.72560669384205	1.055804719365831	8.44	1:22:57
258000	536.0000000011507	-362141.27287127107	299.4938900558737	1.0615026948306183	8.44	1:22:36
259000	538.0000000011034	-362650.520397225	297.16170497685727	1.0611080527644485	8.44	1:22:16
260000	540.0000000010562	-363281.72051629156	298.3786983591426	1.0582279773882826	8.44	1:21:55
261000	542.0000000010089	-362952.40508775046	300.1777287840705	1.0605390411407372	8.44	1:21:35
262000	544.0000000009616	-362622.4817197094	302.86489677474896	1.058895845153745	8.44	1:21:14
263000	546.0000000009143	-363436.985196034	300.60361379503655	1.0581513114739356	8.44	1:20:54
264000	548.000000000867	-364001.0842928053	300.6755304889752	1.0591779290971313	8.44	1:20:34
265000	550.0000000008197	-363400.76991283	299.7018509170807	1.0591509800746841	8.44	1:20:13
266000	552.0000000007724	-364365.97899699555	298.87239962959836	1.0625723877239686	8.44	1:19:53
267000	554.0000000007251	-363386.53504655644	299.76880228113913	1.0626407543148109	8.44	1:19:32
268000	556.0000000006778	-362435.64387801156	300.94590072129455	1.0577207427138349	8.44	1:19:12
269000	558.0000000006305	-362875.42810189346	301.03397885849586	1.0595458552187802	8.44	1:18:51
270000	560.0000000005832	-363665.9182922828	299.8875254985736	1.0598250415371209	8.44	1:18:30
